"Player","Year","Rnd","Pick","Tm","ID","PosPro","Age","CollegeUniv","PosCollege","Ht","Wt","X40yd","Vertical","Bench","BroadJump","X3Cone","Shuttle"
"Daryl Worley",2016,3,77,"CAR","WorlDa00","CB",21,"West Virginia","CB",73,204,4.64,35.5,14,123,6.98,4.15
"David Morgan",2016,6,188,"MIN","MorgDa01","TE",23,"Texas-San Antonio","TE",76,262,NA,NA,NA,NA,NA,NA
"De'Vondre Campbell",2016,4,115,"ATL","CampDe00","OLB",23,"Minnesota","OLB",76,232,4.58,34,16,116,NA,NA
"Dean Lowry",2016,4,137,"GNB","LowrDe00","DE",22,"Northwestern","DE",78,296,4.87,32.5,30,114,7.26,4.38
"Deion Jones",2016,2,52,"ATL","JoneDe01","OLB",21,"LSU","OLB",73,222,4.59,33,NA,120,NA,NA
"Demarcus Ayers",2016,7,229,"PIT","AyerDe00","WR",22,"Houston","WR",69,182,4.72,33,NA,123,NA,NA
"Demarcus Robinson",2016,4,126,"KAN","RobiDe01","WR",21,"Florida","WR",73,203,4.59,34.5,NA,123,6.77,4.19
"Deon Bush",2016,4,124,"CHI","BushDe00","S",23,"Miami (FL)","FS",72,199,4.64,36,17,123,NA,NA
"Derrick Henry",2016,2,45,"TEN","HenrDe00","RB",22,"Alabama","RB",75,247,4.54,37,22,130,7.2,4.38
"Derrick Kindred",2016,4,129,"CLE","KindDe00","FS",22,"TCU","FS",70,207,4.5,37.5,NA,123,7.05,4.29
"Devante Bond",2016,6,183,"TAM","BondDe00","OLB",23,"Oklahoma","OLB",73,235,4.7,37.5,21,121,7.07,4.36
"Devontae Booker",2016,4,136,"DEN","BookDe00","RB",24,"Utah","RB",71,219,4.56,NA,22,NA,NA,NA
"Drew Kaser",2016,6,179,"SDG","KaseDr00","P",23,"Texas A&M","P",74,212,4.95,NA,NA,NA,NA,NA
"Eli Apple",2016,1,10,"NYG","ApplEl00","CB",21,"Ohio St.","CB",73,199,4.4,NA,13,NA,NA,NA
"Emmanuel Ogbah",2016,2,32,"CLE","OgbaEm00","DE",22,"Oklahoma St.","DE",76,273,4.63,35.5,20,121,7.26,4.5
"Eric Murray",2016,4,106,"KAN","MurrEr00","CB",22,"Minnesota","CB",71,199,4.49,39.5,15,124,7.08,4.05
"Evan Boehm",2016,4,128,"ARI","BoehEv00","C",23,"Missouri","C",74,302,5.33,28.5,24,96,7.52,4.69
"Ezekiel Elliott",2016,1,4,"DAL","ElliEz00","RB",21,"Ohio St.","RB",72,225,4.47,32.5,NA,118,NA,NA
"Fahn Cooper",2016,5,174,"SFO","CoopFa00","T",23,"Mississippi","OT",76,303,5.17,25,19,102,7.85,4.89
"Germain Ifedi",2016,1,31,"SEA","IfedGe00","G",22,"Texas A&M","OT",78,324,5.27,32.5,24,109,NA,4.75
"Graham Glasgow",2016,3,95,"DET","GlasGr00","C",24,"Michigan","C",78,307,5.13,25,23,106,7.63,4.63
"Halapoulivaati Vaitai",2016,5,164,"PHI","VaitHa00","T",23,"TCU","OT",78,320,5.26,29,23,113,8.26,5
"Harlan Miller",2016,6,205,"ARI","MillHa00","CB",22,"SE Louisiana","CB",72,182,4.65,35.5,6,118,7.44,4.43
"Hassan Ridgeway",2016,4,116,"IND","RidgHa00","DT",21,"Texas","DT",75,303,5.02,32,24,113,8.28,4.82
"Hunter Henry",2016,2,35,"SDG","HenrHu00","TE",21,"Arkansas","TE",77,250,4.79,NA,13,NA,NA,NA
"Isaac Seumalo",2016,3,79,"PHI","SeumIs00","G",22,"Oregon St.","OG",76,303,5.19,26,NA,105,7.4,4.52
"Jack Conklin",2016,1,8,"TEN","ConkJa00","T",22,"Michigan St.","OT",78,308,5,30,25,103,7.63,4.57
"Jacoby Brissett",2016,3,91,"NWE","BrisJa00","QB",22,"North Carolina St.","QB",76,231,4.94,31,NA,113,7.17,4.53
"Jalen Mills",2016,7,233,"PHI","MillJa02","FS",22,"LSU","SS",72,191,4.61,37,16,123,6.86,4
"Jalen Ramsey",2016,1,5,"JAX","RamsJa00","CB",21,"Florida St.","CB",73,209,4.41,41.5,14,135,6.94,4.18
"James Bradberry",2016,2,62,"CAR","BradJa00","CB",23,"Samford","CB",73,211,4.5,36,16,124,6.91,4.21
"Jared Goff",2016,1,1,"LAR","GoffJa00","QB",21,"California","QB",76,215,4.82,27,NA,110,7.17,4.47
"Jarran Reed",2016,2,49,"SEA","ReedJa02","DT",23,"Alabama","DT",75,307,5.21,31,NA,104,7.77,4.75
"Jason Spriggs",2016,2,48,"GNB","SpriJa00","T",22,"Indiana","OT",78,301,4.94,31.5,31,115,7.7,4.44
"Javon Hargrave",2016,3,89,"PIT","HargJa00","DT",23,"South Carolina St.","DT",73,309,4.93,34.5,29,109,7.9,4.7
"Jaylon Smith",2016,2,34,"DAL","SmitJa05","OLB",21,"Notre Dame","OLB",74,223,4.67,NA,NA,NA,NA,NA
