"Player","Year","Rnd","Pick","Tm","ID","PosPro","Age","CollegeUniv","PosCollege","Ht","Wt","X40yd","Vertical","Bench","BroadJump","X3Cone","Shuttle"
"A.J. Klein",2013,5,148,"CAR","KleiAJ00","LB",22,"Iowa St.","ILB",73,250,4.66,NA,20,113,NA,NA
"Aaron Dobson",2013,2,59,"NWE","DobsAa00","WR",22,"Marshall","WR",75,210,4.37,NA,NA,NA,NA,NA
"Aaron Mellette",2013,7,238,"BAL","MellAa00","WR",23,"Elon","WR",74,217,4.54,33.5,9,123,7.11,4.41
"Ace Sanders",2013,4,101,"JAX","SandAc00","WR",21,"South Carolina","WR",67,173,4.58,32,7,117,6.81,4.37
"Akeem Spence",2013,4,100,"TAM","SpenAk00","DT",21,"Illinois","DT",73,307,5.15,30,37,107,7.82,4.72
"Alan Bonner",2013,6,195,"HOU","BonnAl00","WR",22,"Jacksonville St.","WR",70,193,4.59,33,14,117,NA,4.15
"Alec Ogletree",2013,1,30,"STL","OgleAl00","LB",21,"Georgia","OLB",74,242,4.7,33.5,20,122,7.16,4.39
"Alex Okafor",2013,4,103,"ARI","OkafAl00","DE",22,"Texas","DE",76,264,4.78,NA,21,NA,NA,NA
"Andre Ellington",2013,6,187,"ARI","ElliAn00","RB",24,"Clemson","RB",69,199,4.61,34,NA,122,NA,NA
"Armonty Bryant",2013,7,217,"CLE","BryaAr00","DE",23,"East Central (OK)","DE",76,263,4.86,31.5,NA,118,7.32,5
"Arthur Brown",2013,2,56,"BAL","BrowAr00","LB",20,"Kansas St.","OLB",72,241,4.62,NA,NA,116,NA,NA
"B.W. Webb",2013,4,114,"DAL","WebbBW00","DB",23,"William & Mary","CB",70,184,4.51,40.5,14,132,6.82,3.84
"Bacarri Rambo",2013,6,191,"WAS","RambBa00","DB",23,"Georgia","FS",72,211,4.56,NA,17,NA,NA,NA
"Barkevious Mingo",2013,1,6,"CLE","MingBa00","LB",22,"LSU","OLB",76,241,4.58,37,NA,128,6.84,4.39
"Barrett Jones",2013,4,113,"STL","JoneBa00","G",23,"Alabama","C",76,306,5.43,NA,NA,NA,NA,NA
"Bennie Logan",2013,3,67,"PHI","LogaBe00","DT",23,"LSU","DT",74,309,5.08,25,30,104,7.53,4.67
"Bjoern Werner",2013,1,24,"IND","WernBj00","DE",23,"Florida St.","DE",75,266,4.83,31,25,111,7.3,4.4
"Blidi Wreh-Wilson",2013,3,70,"TEN","WrehBl00","DB",23,"Connecticut","CB",73,195,4.53,36,14,128,6.97,4.12
"Brad Sorensen",2013,7,221,"SDG","SoreBr00","QB",25,"Southern Utah","QB",76,229,4.97,29,NA,112,7.17,4.55
"Braden Wilson",2013,6,204,"KAN","WilsBr00","FB",23,"Kansas St.","FB",75,251,4.81,NA,22,NA,NA,NA
"Brandon Hepburn",2013,7,245,"DET","HepbBr00","LB",23,"Florida A&M","ILB",74,240,4.68,32,21,124,7.4,4.55
"Brandon Jenkins",2013,5,162,"WAS","JenkBr00","DE",23,"Florida St.","DE",74,251,5.07,NA,18,NA,NA,NA
"Brandon McGee",2013,5,149,"STL","McGeBr00","DB",22,"Miami (FL)","CB",71,193,4.4,33.5,14,119,6.71,4.18
"Brandon Williams",2013,3,94,"BAL","WillBr02","DT",24,"Missouri Southern","DT",73,335,5.37,29.5,38,102,8.09,4.91
"Brennan Williams",2013,3,89,"HOU","WillBr03","OL",22,"North Carolina","OT",78,318,5.27,NA,NA,NA,NA,NA
"Brian Schwenke",2013,4,107,"TEN","SchwBr00","C",22,"California","C",75,314,4.99,26.5,31,108,7.31,4.74
"Brian Winters",2013,3,72,"NYJ","WintBr00","G",22,"Kent St.","OG",76,320,5.22,NA,9,NA,NA,NA
"Caleb Sturgis",2013,5,166,"MIA","SturCa00","K",24,"Florida","K",70,188,4.77,NA,NA,NA,NA,NA
"Chance Warmack",2013,1,10,"TEN","WarmCh00","G",21,"Alabama","OG",74,317,5.49,NA,NA,110,NA,NA
"Chris Gragg",2013,7,222,"BUF","GragCh00","TE",23,"Arkansas","TE",75,244,4.5,37.5,18,125,7.08,4.51
"Chris Harper",2013,4,123,"SEA","HarpCh00","WR",23,"Kansas St.","WR",73,229,4.55,35.5,20,116,6.89,4.39
"Chris Jones",2013,6,198,"HOU","JoneCh04","DT",23,"Bowling Green","DT",74,302,5.33,NA,30,NA,7.34,4.44
"Chris Thompson",2013,5,154,"WAS","ThomCh03","RB",22,"Florida St.","RB",67,192,4.42,NA,21,NA,NA,NA
"Christine Michael",2013,2,62,"SEA","MichCh00","RB",22,"Texas A&M","RB",70,220,4.54,43,27,125,6.69,4.02
"Cobi Hamilton",2013,6,197,"CIN","HamiCo00","WR",22,"Arkansas","WR",74,212,4.56,29.5,11,107,NA,4.31
"Cordarrelle Patterson",2013,1,29,"MIN","PattCo00","WR",22,"Tennessee","WR",74,216,4.42,37,NA,128,NA,NA
"Corey Fuller",2013,6,171,"DET","FullCo00","WR",23,"Virginia Tech","WR",74,204,4.43,31.5,12,120,NA,NA
"Corey Lemonier",2013,3,88,"SFO","LemoCo00","DE",21,"Auburn","DE",75,255,4.6,33,27,119,7.14,4.4
"Cornelius Washington",2013,6,188,"CHI","WashCo00","LB",23,"Georgia","DE",76,265,4.55,39,36,128,NA,NA
"D.C. Jefferson",2013,7,219,"ARI","JeffD.00","TE",24,"Rutgers","TE",78,255,4.97,NA,3,NA,NA,NA
"D.J. Fluker",2013,1,11,"SDG","FlukDJ00","T",22,"Alabama","OT",77,339,5.31,NA,21,NA,NA,NA
"D.J. Hayden",2013,1,12,"OAK","HaydDJ00","DB",23,"Houston","CB",71,191,4.4,NA,NA,NA,NA,NA
"D.J. Swearinger",2013,2,57,"HOU","SweaDJ00","DB",22,"South Carolina","FS",70,208,4.67,37,17,124,6.7,4.11
"Daimion Stafford",2013,7,248,"TEN","StafDa00","DB",22,"Nebraska","FS",72,221,4.69,30.5,21,111,7.06,NA
"Dallas Thomas",2013,3,77,"MIA","ThomDa04","T",23,"Tennessee","OT",77,306,5.08,NA,NA,NA,NA,NA
"Damontre Moore",2013,3,81,"NYG","MoorDa01","DE",20,"Texas A&M","DE",76,250,4.95,35.5,12,122,NA,NA
"Darius Slay",2013,2,36,"DET","SlayDa00","DB",22,"Mississippi St.","CB",72,192,4.36,35.5,14,124,6.9,4.21
"Datone Jones",2013,1,26,"GNB","JoneDa03","DE",23,"UCLA","DE",76,283,4.8,31.5,29,112,7.32,4.32
"David Amerson",2013,2,51,"WAS","AmerDa00","DB",21,"North Carolina St.","CB",73,205,4.44,35.5,15,127,NA,NA
"David Bakhtiari",2013,4,109,"GNB","BakhDa00","T",21,"Colorado","OT",76,299,5.18,25.5,28,101,7.7,4.74
"David Bass",2013,7,233,"OAK","BassDa00","DE",22,"Missouri Western St.","DE",76,262,4.84,30.5,20,111,7.07,4.33
"David Quessenberry",2013,6,176,"HOU","QuesDa00","OL",23,"San Jose St.","OT",77,302,5.08,29.5,25,112,7.49,4.45
"DeAndre Hopkins",2013,1,27,"HOU","HopkDe00","WR",21,"Clemson","WR",73,214,4.57,36,15,115,NA,4.5
"Dee Milliner",2013,1,9,"NYJ","MillDe00","DB",21,"Alabama","CB",72,201,4.37,36,NA,122,6.95,4.32
"Demetrius McCray",2013,7,210,"JAX","McCrDe00","DB",22,"Appalachian St.","CB",73,187,4.54,36,4,126,7.17,4.32
"Denard Robinson",2013,5,135,"JAX","RobiDe00","WR",22,"Michigan","WR",70,199,4.43,36.5,NA,123,7.09,4.22
"Desmond Trufant",2013,1,22,"ATL","TrufDe00","DB",22,"Washington","CB",72,190,4.38,37.5,16,125,NA,3.85
"Devin Taylor",2013,4,132,"DET","TaylDe00","DE",23,"South Carolina","DE",79,266,4.72,35,14,128,6.89,4.3
"DeVonte Holloman",2013,6,185,"DAL","HollDe01","LB",22,"South Carolina","OLB",73,243,4.76,33,15,113,7.3,4.26
"Dion Jordan",2013,1,3,"MIA","JordDi00","DE",23,"Oregon","OLB",78,248,4.54,32.5,NA,122,7.02,4.35
"Dion Sims",2013,4,106,"MIA","SimsDi00","TE",22,"Michigan St.","TE",77,262,4.75,35,22,112,7.36,4.52
"Duke Williams",2013,4,105,"BUF","WillDu00","DB",22,"Nevada","SS",71,203,4.48,37.5,13,126,NA,4
"Dustin Hopkins",2013,6,177,"BUF","HopkDu00","K",22,"Florida St.","K",74,193,4.74,33.5,NA,116,NA,NA
"Dwayne Gratz",2013,3,64,"JAX","GratDw00","DB",23,"Connecticut","CB",71,201,4.47,38,22,125,6.7,4.15
"Earl Watford",2013,4,116,"ARI","WatfEa00","G",23,"James Madison","OG",75,300,5.06,30,24,107,7.77,5
"Earl Wolff",2013,5,136,"PHI","WolfEa00","DB",23,"North Carolina St.","SS",71,209,4.44,39,NA,134,NA,4.07
"Eddie Lacy",2013,2,61,"GNB","LacyEd00","RB",23,"Alabama","RB",71,231,4.55,NA,NA,NA,NA,NA
"Edmund Kugbila",2013,4,108,"CAR","KugbEd00","OL",22,"Valdosta St.","OG",76,317,5.13,22.5,23,105,7.72,4.65
"Eric Fisher",2013,1,1,"KAN","FishEr00","T",22,"Central Michigan","OT",79,306,5.05,28.5,27,116,7.59,4.44
"Eric Herman",2013,7,225,"NYG","HermEr00","OL",23,"Ohio","OG",76,320,5.25,28,36,95,7.99,5.09
"Eric Reid",2013,1,18,"SFO","ReidEr00","DB",21,"LSU","FS",73,213,4.53,40.5,17,134,6.99,4.22
"Everett Dawkins",2013,7,229,"MIN","DawkEv00","DT",23,"Florida St.","DT",74,292,5.06,30,23,103,7.61,4.88
"Garrett Gilkey",2013,7,227,"CLE","GilkGa00","T",23,"Chadron St.","OT",78,318,5.29,30,28,108,7.65,4.75
"Gavin Escobar",2013,2,47,"DAL","EscoGa00","TE",22,"San Diego St.","TE",78,254,4.84,32,NA,114,7.07,4.31
"Geno Smith",2013,2,39,"NYJ","SmitGe00","QB",22,"West Virginia","QB",74,218,4.58,33.5,NA,124,NA,NA
"Gerald Hodges",2013,4,120,"MIN","HodgGe00","LB",22,"Penn St.","OLB",73,243,4.78,NA,22,119,NA,NA
"Giovani Bernard",2013,2,37,"CIN","BernGi00","RB",21,"North Carolina","RB",68,202,4.53,33.5,19,122,6.91,4.12
"Hugh Thornton",2013,3,86,"IND","ThorHu00","G",22,"Illinois","OG",75,320,5.11,NA,27,NA,7.45,4.63
"J.C. Tretter",2013,4,122,"GNB","TretJC00","T",22,"Cornell","OG",76,307,5.09,29.5,29,109,7.48,4.69
"J.J. Wilcox",2013,3,80,"DAL","WilcJ.00","DB",22,"Georgia Southern","SS",72,213,4.57,35,17,124,7.02,4.09
"Jamar Taylor",2013,2,54,"MIA","TaylJa01","DB",22,"Boise St.","CB",71,192,4.39,35,22,127,6.82,4.06
"Jamie Collins",2013,2,52,"NWE","CollJa00","LB",23,"Southern Miss","OLB",75,250,4.64,41.5,19,139,7.1,4.32
"Jamoris Slaughter",2013,6,175,"CLE","SlauJa00","DB",23,"Notre Dame","SS",72,195,4.57,NA,NA,NA,NA,NA
"Jared Smith",2013,7,241,"SEA","SmitJa02","DT",23,"New Hampshire","DT",75,302,5.08,32.5,28,115,7.2,4.39
"Jarvis Jones",2013,1,17,"PIT","JoneJa05","LB",23,"Georgia","OLB",74,245,4.74,NA,NA,NA,NA,NA
"Jawan Jamison",2013,7,228,"WAS","JamiJa00","RB",21,"Rutgers","RB",67,203,4.68,29,20,110,NA,NA
"Jeff Baca",2013,6,196,"MIN","BacaJe00","G",23,"UCLA","OG",75,302,5.03,26.5,NA,100,7.26,4.44
"Jeff Locke",2013,5,155,"MIN","LockJe00","P",23,"UCLA","P",73,209,4.82,NA,NA,NA,NA,NA
"Jelani Jenkins",2013,4,104,"MIA","JenkJe00","LB",21,"Florida","ILB",72,243,4.65,NA,27,NA,NA,NA
"Jesse Williams",2013,5,137,"SEA","WillJe02","DT",22,"Alabama","DT",75,323,4.94,NA,30,NA,NA,NA
"Joe Kruger",2013,7,212,"PHI","KrugJo00","DE",21,"Utah","DE",78,269,4.83,34,24,117,7.17,4.46
"John Boyett",2013,6,192,"IND","BoyeJo00","DB",23,"Oregon","FS",70,204,4.64,NA,27,NA,NA,NA
"John Jenkins",2013,3,82,"NOR","JenkJo00","DT",24,"Georgia","DT",76,346,5.21,NA,30,NA,NA,NA
"John Simon",2013,4,129,"BAL","SimoJo01","DE",22,"Ohio St.","OLB",73,257,4.62,NA,NA,NA,NA,NA
"Johnathan Franklin",2013,4,125,"GNB","FranJo01","RB",23,"UCLA","RB",70,205,4.49,31.5,18,115,6.89,4.31
"Johnathan Hankins",2013,2,49,"NYG","HankJo00","DT",21,"Ohio St.","DT",75,320,5.31,26,NA,104,7.59,4.61
"Johnthan Banks",2013,2,43,"TAM","BankJo00","DB",23,"Mississippi St.","CB",74,185,4.61,34,10,125,6.97,4.27
"Jonathan Cooper",2013,1,7,"ARI","CoopJo01","G",23,"North Carolina","OG",74,311,5.07,27,35,108,7.78,4.84
"Jordan Hill",2013,3,87,"SEA","HillJo01","DT",22,"Penn St.","DT",73,303,5.23,22.5,28,103,7.49,4.51
"Jordan Mills",2013,5,163,"CHI","MillJo02","T",22,"Louisiana Tech","OT",77,316,5.37,28.5,20,101,8.1,4.88
"Jordan Poyer",2013,7,218,"PHI","PoyeJo00","DB",22,"Oregon St.","CB",72,191,4.54,30.5,8,118,6.87,4.18
"Jordan Reed",2013,3,85,"WAS","ReedJo02","TE",23,"Florida","TE",74,236,4.72,NA,16,NA,NA,NA
"Joseph Randle",2013,5,151,"DAL","RandJo01","RB",21,"Oklahoma St.","RB",72,204,4.63,35,NA,123,NA,NA
"Josh Boyce",2013,4,102,"NWE","BoycJo00","WR",22,"TCU","WR",71,206,4.38,34,22,131,6.68,4.1
"Josh Boyd",2013,5,167,"GNB","BoydJo00","DE",24,"Mississippi St.","DT",75,310,5.14,26.5,32,104,7.16,4.64
"Josh Evans",2013,6,169,"JAX","EvanJo00","DB",22,"Florida","FS",73,207,4.58,34.5,NA,123,6.64,4.1
"Justice Cunningham",2013,7,254,"IND","CunnJu00","TE",22,"South Carolina","TE",75,258,4.94,31.5,NA,116,7.12,4.45
"Justin Hunter",2013,2,34,"TEN","HuntJu00","WR",22,"Tennessee","WR",76,196,4.44,39.5,NA,136,NA,4.33
"Justin Pugh",2013,1,19,"NYG","PughJu00","T",23,"Syracuse","OT",76,307,5.12,28.5,NA,103,7.45,4.63
"Kapron Lewis-Moore",2013,6,200,"BAL","LewiKa00","DE",23,"Notre Dame","DT",76,298,4.95,NA,NA,NA,NA,NA
"Kawann Short",2013,2,44,"CAR","ShorKa00","DT",24,"Purdue","DT",75,299,5.08,NA,NA,NA,NA,NA
"Kayvon Webster",2013,3,90,"DEN","WebsKa00","DB",22,"South Florida","CB",70,195,4.41,35,14,125,NA,NA
"Keenan Allen",2013,3,76,"SDG","AlleKe00","WR",21,"California","WR",74,206,4.58,NA,NA,NA,NA,NA
"Kenjon Barner",2013,6,182,"CAR","BarnKe00","RB",23,"Oregon","RB",69,196,4.52,35.5,20,122,6.87,4.2
"Kenny Stills",2013,5,144,"NOR","StilKe00","WR",21,"Oklahoma","WR",72,194,4.38,33.5,16,124,NA,4.35
"Kenny Vaccaro",2013,1,15,"NOR","VaccKe00","DB",22,"Texas","FS",72,214,4.63,38,15,121,6.78,4.06
"Kerwynn Williams",2013,7,230,"IND","WillKe05","RB",22,"Utah St.","RB",68,195,4.48,35,17,118,7.15,4.15
"Kevin Minter",2013,2,45,"ARI","MintKe00","LB",22,"LSU","ILB",72,246,4.81,33,25,119,NA,NA
"Khaled Holmes",2013,4,121,"IND","HolmKh00","C",23,"USC","C",75,302,5.29,NA,13,NA,NA,NA
"Khalid Wooten",2013,6,202,"TEN","WootKh00","DB",23,"Nevada","CB",71,210,4.53,33.5,17,117,6.95,4.18
"Khaseem Greene",2013,4,117,"CHI","GreeKh00","LB",24,"Rutgers","OLB",73,241,4.71,30,17,116,7.58,4.2
"Kiko Alonso",2013,2,46,"BUF","AlonKi00","LB",23,"Oregon","ILB",75,238,4.74,NA,NA,NA,NA,NA
"Knile Davis",2013,3,96,"KAN","DaviKn00","RB",21,"Arkansas","RB",71,227,4.37,33.5,31,121,6.96,4.38
"Kyle Long",2013,1,20,"CHI","LongKy00","G",24,"Oregon","OG",78,313,4.91,28,NA,107,7.83,4.63
"Landry Jones",2013,4,115,"PIT","JoneLa02","QB",24,"Oklahoma","QB",76,225,5.11,31,NA,115,7.12,4.3
"Lane Johnson",2013,1,4,"PHI","JohnLa01","T",23,"Oklahoma","OT",78,303,4.72,34,28,118,7.31,4.52
"Larry Warford",2013,3,65,"DET","WarfLa00","G",22,"Kentucky","OG",75,332,5.58,22.5,28,96,7.78,5.1
"Lavar Edwards",2013,5,142,"TEN","EdwaLa00","DE",23,"LSU","DE",76,277,4.8,33,NA,119,7.03,4.51
"Le'Veon Bell",2013,2,48,"PIT","BellLe00","RB",21,"Michigan St.","RB",73,230,4.6,31.5,24,118,6.75,4.24
"Leon McFadden",2013,3,68,"CLE","McFaLe00","DB",22,"San Diego St.","CB",70,193,4.54,34.5,10,119,6.81,4.27
"Levine Toilolo",2013,4,133,"ATL","ToilLe00","TE",22,"Stanford","TE",80,260,4.86,31,17,113,7.09,4.57
"Logan Ryan",2013,3,83,"NWE","RyanLo00","DB",22,"Rutgers","CB",71,191,4.56,32.5,14,116,6.69,4.06
"Luke Joeckel",2013,1,2,"JAX","JoecLu00","T",21,"Texas A&M","OT",78,306,5.3,28.5,27,106,7.4,4.68
"Malliciah Goodman",2013,4,127,"ATL","GoodMa01","DE",23,"Clemson","DE",76,276,4.87,31.5,26,114,NA,NA
"Manti Te'o",2013,2,38,"SDG","TeoxMa00","LB",22,"Notre Dame","ILB",73,241,4.82,33,NA,113,7.13,4.27
"Marc Anthony",2013,7,247,"BAL","AnthMa00","DB",23,"California","CB",71,196,4.63,35,12,118,6.74,4.07
"Marcus Lattimore",2013,4,131,"SFO","LattMa00","RB",21,"South Carolina","RB",71,221,4.65,NA,NA,NA,NA,NA
"Margus Hunt",2013,2,53,"CIN","HuntMa00","DE",26,"SMU","DE",80,277,4.62,34.5,38,121,7.07,4.51
"Markus Wheaton",2013,3,79,"PIT","WheaMa00","WR",22,"Oregon St.","WR",71,189,4.45,37,20,120,6.8,4.02
"Marquess Wilson",2013,7,236,"CHI","WilsMa02","WR",20,"Washington St.","WR",75,194,4.51,34.5,7,122,6.65,4.33
"Marquise Goodwin",2013,3,78,"BUF","GoodMa00","WR",22,"Texas","WR",69,183,4.27,NA,13,132,NA,NA
"Matt Barkley",2013,4,98,"PHI","BarkMa00","QB",22,"USC","QB",74,227,4.91,NA,NA,NA,NA,NA
"Matt Elam",2013,1,32,"BAL","ElamMa00","DB",22,"Florida","SS",70,208,4.43,35.5,17,118,NA,NA
"Menelik Watson",2013,2,42,"OAK","WatsMe00","T",24,"Florida St.","OT",77,310,5.29,24.5,NA,103,8.31,5.01
"Micah Hyde",2013,5,159,"GNB","HydeMi00","DB",22,"Iowa","CB",72,197,4.56,33,12,121,6.78,4.2
"Michael Buchanan",2013,7,226,"NWE","BuchMi00","DE",22,"Illinois","DE",77,255,4.78,33,22,113,6.91,4.44
"Michael Mauti",2013,7,213,"MIN","MautMi00","LB",23,"Penn St.","OLB",74,243,4.83,NA,28,NA,NA,NA
"Mike Gillislee",2013,5,164,"MIA","GillMi00","RB",22,"Florida","RB",71,208,4.55,30.5,15,119,7.12,4.4
"Mike Glennon",2013,3,73,"TAM","GlenMi00","QB",23,"North Carolina St.","QB",79,225,4.94,26.5,NA,102,7.49,4.52
"Mike James",2013,6,189,"TAM","JameMi00","RB",22,"Miami (FL)","RB",70,223,4.53,35,28,115,NA,4.62
"Montee Ball",2013,2,58,"DEN","BallMo00","RB",22,"Wisconsin","RB",70,214,4.66,32,15,118,6.88,4.4
"Montori Hughes",2013,5,139,"IND","HughMo00","DT",23,"Tenn-Martin","DT",76,329,5.23,26.5,22,104,7.85,4.7
"Mychal Rivera",2013,6,184,"OAK","RiveMy00","TE",22,"Tennessee","TE",75,242,4.81,31,17,112,7.17,4.43
"Nicholas Williams",2013,7,223,"PIT","WillNi01","DT",23,"Samford","DT",76,309,4.94,33,28,111,7.55,4.65
"Nick Kasa",2013,6,172,"OAK","KasaNi00","TE",22,"Colorado","TE",78,269,4.71,31.5,22,113,NA,NA
"Nick Moody",2013,6,180,"SFO","MoodNi00","LB",23,"Florida St.","OLB",73,236,4.71,NA,17,118,NA,NA
"Nico Johnson",2013,4,99,"KAN","JohnNi00","LB",23,"Alabama","ILB",74,248,4.73,NA,NA,NA,NA,NA
"Oday Aboushi",2013,5,141,"NYJ","AbouOd00","T",22,"Virginia","OT",77,308,5.41,23.5,17,100,7.92,4.84
"Phillip Thomas",2013,4,119,"WAS","ThomPh00","DB",24,"Fresno St.","FS",72,208,4.65,35,14,122,NA,NA
"Quanterus Smith",2013,5,146,"DEN","SmitQu00","DE",23,"West. Kentucky","DE",77,250,4.74,NA,NA,NA,NA,NA
"Quinton Dial",2013,5,157,"SFO","DialQu00","DE",23,"Alabama","DT",77,318,5.29,NA,NA,NA,NA,NA
"Quinton Patton",2013,4,128,"SFO","PattQu00","WR",23,"Louisiana Tech","WR",72,204,4.53,33,8,118,6.91,4.01
"Reid Fragel",2013,7,240,"CIN","FragRe00","OL",22,"Ohio St.","OT",80,308,5.14,30,33,113,7.62,4.68
"Rex Burkhead",2013,6,190,"CIN","BurkRe00","RB",23,"Nebraska","RB",70,214,4.73,39,21,125,6.85,4.09
"Ricky Wagner",2013,5,168,"BAL","WagnRi00","T",23,"Wisconsin","OT",78,308,5.17,31.5,20,101,7.94,4.91
"Robert Alford",2013,2,60,"ATL","AlfoRo00","DB",24,"SE Louisiana","CB",70,188,4.39,40,17,132,6.89,4.23
"Robert Woods",2013,2,41,"BUF","WoodRo02","WR",21,"USC","WR",72,201,4.51,33.5,14,117,7.15,4.47
"Ryan Nassib",2013,4,110,"NYG","NassRy00","QB",23,"Syracuse","QB",74,227,5.06,28.5,NA,105,7.34,4.53
"Ryan Swope",2013,6,174,"ARI","SwopRy00","WR",22,"Texas A&M","WR",72,205,4.34,37,16,125,6.76,4.25
"Sam Barrington",2013,7,232,"GNB","BarrSa00","LB",22,"South Florida","ILB",73,246,4.91,32.5,22,117,NA,NA
"Sam Montgomery",2013,3,95,"HOU","MontSa00","DE",23,"LSU","DE",75,262,4.81,34.5,NA,114,7.18,4.51
"Sanders Commings",2013,5,134,"KAN","CommSa00","DB",23,"Georgia","CB",72,216,4.41,34.5,NA,117,7.1,4.3
"Sean Porter",2013,4,118,"CIN","PortSe00","LB",22,"Texas A&M","OLB",73,229,4.75,35,22,119,NA,NA
"Sean Renfree",2013,7,249,"ATL","RenfSe00","QB",23,"Duke","QB",75,219,4.76,NA,NA,NA,NA,NA
"Shamarko Thomas",2013,4,111,"PIT","ThomSh00","DB",22,"Syracuse","SS",69,213,4.42,40.5,28,133,NA,4.26
"Sharrif Floyd",2013,1,23,"MIN","FloySh00","DT",21,"Florida","DT",75,297,4.92,30,NA,106,7.4,4.75
"Shawn Williams",2013,3,84,"CIN","WillSh02","DB",22,"Georgia","SS",72,213,4.46,36,25,120,7.01,4.25
"Sheldon Richardson",2013,1,13,"NYJ","RichSh00","DT",22,"Missouri","DT",74,294,5.02,32,30,116,NA,NA
"Sio Moore",2013,3,66,"OAK","MoorSi00","LB",23,"Connecticut","OLB",73,245,4.65,38,29,127,7.49,4.31
"Spencer Ware",2013,6,194,"SEA","WareSp00","RB",21,"LSU","RB",70,228,4.62,NA,NA,NA,NA,NA
"Stacy McGee",2013,6,205,"OAK","McGeSt01","DT",23,"Oklahoma","DT",75,308,4.98,NA,NA,NA,NA,NA
"Stansly Maponga",2013,5,153,"ATL","MapoSt00","DE",22,"TCU","DE",74,256,4.78,NA,30,NA,NA,NA
"Star Lotulelei",2013,1,14,"CAR","LotuSt00","DT",23,"Utah","DT",74,311,5.14,NA,NA,NA,NA,NA
"Stedman Bailey",2013,3,92,"STL","BailSt01","WR",22,"West Virginia","WR",70,193,4.52,34.5,11,117,6.81,4.09
"Stepfan Taylor",2013,5,140,"ARI","TaylSt00","RB",22,"Stanford","RB",69,214,4.76,30,17,110,7.13,4.5
"Steve Beauharnais",2013,7,235,"NWE","BeauSt00","LB",23,"Rutgers","ILB",73,240,4.84,33,19,118,6.99,4.2
"Steve Williams",2013,5,145,"SDG","WillSt02","DB",22,"California","CB",69,181,4.42,40.5,12,128,6.89,4.1
"Sylvester Williams",2013,1,28,"DEN","WillSy00","DT",24,"North Carolina","DT",75,313,5.03,26.5,27,102,7.93,4.8
"T.J. Johnson",2013,7,251,"CIN","JohnTJ00","C",23,"South Carolina","C",76,310,5.33,25.5,32,96,7.83,4.74
"T.J. McDonald",2013,3,71,"STL","McDoTJ00","DB",22,"USC","FS",74,219,4.59,40,19,131,6.89,4.2
"Tank Carradine",2013,2,40,"SFO","CarrCo00","DE",23,"Florida St.","DE",76,276,4.9,NA,28,NA,NA,NA
"Tanner Hawkinson",2013,5,156,"CIN","HawkTa00","T",23,"Kansas","OT",77,298,5.07,28.5,NA,112,7.52,4.51
"Tavarres King",2013,5,161,"DEN","KingTa00","WR",23,"Georgia","WR",72,189,4.47,36.5,11,123,6.91,4.33
"Tavon Austin",2013,1,8,"STL","AustTa00","WR",23,"West Virginia","WR",68,174,4.34,32,14,120,NA,4.01
"Terrance Williams",2013,3,74,"DAL","WillTe01","WR",23,"Baylor","WR",74,208,4.52,32.5,11,119,7.01,4.32
"Terron Armstead",2013,3,75,"NOR","ArmsTe00","T",22,"Ark-Pine Bluff","OT",77,306,4.71,34.5,31,112,7.62,4.72
"Terry Hawthorne",2013,5,150,"PIT","HawtTe00","DB",23,"Illinois","CB",72,195,4.44,35.5,13,116,NA,NA
"Tharold Simon",2013,5,138,"SEA","SimoTh00","DB",22,"LSU","CB",74,202,4.51,34,9,128,NA,NA
"Theo Riddick",2013,6,199,"DET","RiddTh00","RB",22,"Notre Dame","RB",70,201,4.68,32,NA,118,NA,NA
"Tommy Bohanon",2013,7,215,"NYJ","BohaTo00","RB",22,"Wake Forest","FB",73,246,4.88,35,36,119,7.27,4.42
"Tourek Williams",2013,6,179,"SDG","WillTo00","DE",22,"Florida International","DE",75,260,4.92,33,25,112,NA,NA
"Travis Bond",2013,7,214,"MIN","BondTr00","G",22,"North Carolina","OG",78,329,5.27,22.5,22,98,7.85,4.96
"Travis Frederick",2013,1,31,"DAL","FredTr00","C",22,"Wisconsin","C",76,312,5.58,28.5,21,97,7.81,4.76
"Travis Kelce",2013,3,63,"KAN","KelcTr00","TE",23,"Cincinnati","TE",77,255,4.63,NA,NA,NA,NA,NA
"Trevardo Williams",2013,4,124,"HOU","WillTr02","DE",22,"Connecticut","OLB",73,241,4.57,38,30,124,NA,NA
"Ty Powell",2013,7,231,"SEA","PoweTy00","DE",25,"Harding","OLB",74,249,4.64,37,28,122,6.98,4.4
"Tyler Eifert",2013,1,21,"CIN","EifeTy00","TE",22,"Notre Dame","TE",77,250,4.68,35.5,22,119,6.92,4.32
"Tyler Wilson",2013,4,112,"OAK","WilsTy00","QB",24,"Arkansas","QB",74,215,4.95,28.5,NA,112,7.22,4.39
"Tyrann Mathieu",2013,3,69,"ARI","MathTy00","DB",21,"LSU","CB",69,186,4.5,34,4,117,6.87,4.14
"Vance McDonald",2013,2,55,"SFO","McDoVa00","TE",23,"Rice","TE",76,267,4.69,33.5,31,119,7.08,4.53
"Vinston Painter",2013,6,173,"DEN","PainVi00","G",23,"Virginia Tech","OT",76,306,4.95,30.5,32,97,7.71,4.56
"Will Davis",2013,3,93,"MIA","DaviWi02","DB",23,"Utah St.","CB",71,186,4.51,35.5,16,127,6.52,4.02
